City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
390,Bosaso,SO,74.34,clear sky,11.2842,49.1816,Red Sea Hotel
396,Tamandare,BR,84.11,few clouds,-8.7597,-35.1047,Pousada 100 Passos
397,Diego De Almagro,CL,81.57,clear sky,-26.3667,-70.05,hotel luna del desierto
398,Palm Coast,US,82.11,scattered clouds,29.585,-81.2078,Hammock Beach Golf Resort & Spa
409,Kloulklubed,PW,81.18,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
412,Guayaramerin,BO,81.64,moderate rain,-10.8368,-65.3614,Hostal Funf
417,Banda Aceh,ID,78.33,broken clouds,5.5577,95.3222,Sulthan Hotel International
420,Malakal,SS,86.16,overcast clouds,9.5334,31.6605,Nile Palace Hotel
421,Port Antonio,JM,87.71,few clouds,18.18,-76.4612,The Trident Hotel
422,Lorengau,PG,80.13,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
428,Saint-Georges,GD,80.19,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
433,Nabire,ID,75.9,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
436,Cilegon,ID,76.89,overcast clouds,-6.0174,106.0538,Amaris Hotel Cilegon
438,Lobito,AO,76.05,broken clouds,-12.3481,13.5456,Casa Rosa Hotel Residence
444,Poum,NC,81.63,light rain,-20.2333,164.0167,Gîte kajeon
446,El Alto,PE,80.26,scattered clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
451,Harper,LR,82.36,broken clouds,4.375,-7.7169,Screensaver
452,Port Blair,IN,78.31,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
457,Marrakesh,MA,75.27,scattered clouds,31.6315,-8.0083,Novotel Marrakech Hivernage
458,Conakry,GN,86.07,haze,9.538,-13.6773,Riviera Royal Hotel
459,Bell Ville,AR,82.18,light rain,-32.6259,-62.6887,Hotel Central
463,Kariba,ZW,72.1,moderate rain,-16.5167,28.8,Caribbea Bay Hotel
466,Bonthe,SL,82.45,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
467,Quatre Cocos,MU,80.1,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
473,Puerto Escondido,MX,83.35,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
479,Camocim,BR,85.19,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
484,Bonanza,NI,84.29,scattered clouds,14.0289,-84.591,Edificio Administrativo HEMCO
488,Les Cayes,HT,85.55,scattered clouds,18.2,-73.75,Villa Orphee
489,Itacare,BR,87.69,overcast clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
496,Mandera,KE,86.83,overcast clouds,3.9366,41.867,Mwalimu Guest mandera
499,Porto Novo,BJ,84.02,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
505,Mogadishu,SO,77.67,few clouds,2.0371,45.3438,Hotel Juba
506,Sinjai,ID,75.47,overcast clouds,-5.1241,120.253,Wisma Sandika
511,Kannangad,IN,71.6,scattered clouds,12.3081,75.1063,Hotel Landmark
513,Ixtapa,MX,76.23,few clouds,20.7,-105.2,Hotel Plaza Providencia
514,Santiago Del Estero,AR,77.31,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
521,Iracoubo,GF,79.23,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
522,Mitsamiouli,KM,81.32,light rain,-11.3847,43.2844,Foyer ADM
523,Touho,NC,79.99,light rain,-20.7833,165.2333,Auberge Timay Evasion
525,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
533,Teahupoo,PF,76.96,light rain,-17.8333,-149.2667,Vanira Lodge
535,Satipo,PE,87.82,broken clouds,-11.2522,-74.6386,Bungalows El Palmiche
541,San Luis,AR,81.64,scattered clouds,-33.295,-66.3356,Huarpes Hotel
542,Mersing,MY,82.31,overcast clouds,2.4312,103.8405,Timotel Hotel
546,Progreso,MX,87.91,few clouds,21.2833,-89.6667,Playa Linda Hotel
547,Samarai,PG,80.89,overcast clouds,-10.6167,150.6667,Nuli Sapi
548,The Valley,AI,82.26,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
554,Balikpapan,ID,76.19,scattered clouds,-1.2675,116.8289,ibis Balikpapan
557,Namibe,AO,73.99,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
559,Tautira,PF,82.42,light rain,-17.7333,-149.15,Pension Oaoa
562,Porto Seguro,BR,84.72,scattered clouds,-16.4497,-39.0647,Porto Cálem Praia Hotel
564,Pringsewu,ID,73.36,overcast clouds,-5.3582,104.9744,Urban Style by Front One
567,Ibipeba,BR,88.74,scattered clouds,-11.6408,-42.0111,Quitanda santos
568,Mount Pleasant,US,78.19,few clouds,32.7941,-79.8626,Best Western Patriots Point
570,Bowen,AU,76.41,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
571,Basoko,CD,82.65,overcast clouds,1.2391,23.616,Jackyna Hotel
574,Mareeba,AU,72.32,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
575,Isla Mujeres,MX,84.25,scattered clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
577,Yenagoa,NG,84.47,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
579,Carupano,VE,83.05,clear sky,10.6678,-63.2585,Hotel La dorada
586,Mercedes,AR,85.78,moderate rain,-34.6515,-59.4307,Posada del Inti Centro
