City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
213,Hambantota,LK,6.1241,81.1185,75.85,80,37,7.65,scattered clouds
214,Pangnirtung,CA,66.1451,-65.7125,-19.8,98,100,5.68,overcast clouds
215,Nizhniye Vyazovyye,RU,55.7988,48.5248,27.23,97,100,11.83,snow
216,Basudebpur,IN,21.1353,86.7386,69.66,79,24,5.3,few clouds
217,Port Hardy,CA,50.6996,-127.4199,46.76,94,100,13.02,moderate rain
218,Gat,IL,31.61,34.7642,52.48,100,84,8.97,broken clouds
219,Port Macquarie,AU,-31.4333,152.9167,59.9,68,80,15.99,broken clouds
220,Khani,GE,41.9563,42.9566,31.57,99,100,6.24,snow
221,Reconquista,AR,-29.15,-59.65,98.53,26,20,5.53,few clouds
222,Asau,RO,46.4333,26.4,34.72,83,95,5.66,overcast clouds
223,Mangrol,IN,21.1167,70.1167,67.19,56,1,4.14,clear sky
224,Sur,OM,22.5667,59.5289,71.01,57,11,5.1,few clouds
225,Moose Factory,CA,51.2585,-80.6094,1.15,79,100,6.67,overcast clouds
226,Barrow,US,71.2906,-156.7887,-29.18,75,20,8.05,few clouds
227,Lompoc,US,34.6391,-120.4579,66.13,57,0,4.61,clear sky
228,Fairview,US,40.8126,-73.999,39.58,89,100,6.91,light rain
229,Matamoros,MX,25.5333,-103.25,42.91,49,75,10.36,broken clouds
230,Barcelos,PT,41.5388,-8.6151,55.29,76,91,7.4,overcast clouds
231,Isangel,VU,-19.55,169.2667,76.53,96,100,17.0,overcast clouds
232,Santa Catarina De Tepehuanes,MX,25.35,-105.7333,48.29,48,2,7.36,clear sky
233,Varlamovo,RU,53.1897,48.4226,28.63,98,100,5.77,light snow
234,Ndele,CF,8.4109,20.6473,81.55,15,36,4.43,scattered clouds
235,Broome,US,42.2506,-75.833,23.77,76,100,1.99,mist
236,Xichang,CN,27.8964,102.2634,41.11,82,8,1.97,clear sky
237,Krasnoselkup,RU,65.7,82.4667,14.92,96,100,6.15,light snow
238,Morgan City,US,29.6994,-91.2068,39.2,93,100,12.66,overcast clouds
239,Itaituba,BR,-4.2761,-55.9836,84.74,73,96,5.03,overcast clouds
240,Ombessa,CM,4.603,11.2565,81.07,22,52,2.1,broken clouds
241,Pisco,PE,-13.7,-76.2167,75.25,60,0,10.36,clear sky
242,La Reforma,MX,25.0833,-108.05,70.09,35,0,6.89,clear sky
243,Dikson,RU,73.5069,80.5464,-3.41,89,100,6.13,overcast clouds
244,Coffs Harbour,AU,-30.3,153.1333,62.56,88,75,16.11,broken clouds
245,Saltillo,MX,25.4167,-101.0,64.99,93,100,0.0,mist
246,Te Anau,NZ,-45.4167,167.7167,43.02,94,92,4.12,overcast clouds
247,Longyearbyen,SJ,78.2186,15.6401,15.64,62,0,26.46,clear sky
248,San Felipe,VE,10.3399,-68.7425,87.13,42,54,9.78,broken clouds
249,Pacific Grove,US,36.6177,-121.9166,61.57,60,0,1.99,clear sky
250,Baruun-Urt,MN,46.6806,113.2792,-4.02,90,28,7.65,scattered clouds
251,Kralendijk,BQ,12.15,-68.2667,84.18,61,40,17.27,scattered clouds
252,Zhoucheng,CN,35.9122,116.3117,26.96,30,20,1.9,few clouds
253,Ahipara,NZ,-35.1667,173.1667,71.11,91,96,13.51,overcast clouds
254,Saint George,US,37.1041,-113.5841,42.64,33,0,3.0,clear sky
255,Lahore,PK,31.5497,74.3436,49.98,87,40,5.75,mist
256,Fairbanks,US,64.8378,-147.7164,3.09,67,75,0.0,broken clouds
257,Inhambane,MZ,-23.865,35.3833,78.01,71,10,13.13,clear sky
258,Yerofey Pavlovich,RU,53.9667,121.9667,0.5,85,100,2.91,overcast clouds
259,Beloha,MG,-25.1667,45.05,73.99,86,6,18.84,clear sky
260,Strehaia,RO,44.6167,23.2,38.68,63,23,1.7,few clouds
261,Esfarayen,IR,37.0765,57.5101,41.86,44,6,8.12,clear sky
262,Stornoway,GB,58.2093,-6.3865,36.03,85,40,20.71,scattered clouds
263,Smoky Lake,CA,54.1169,-112.4686,3.49,96,100,10.6,snow
264,Anqing,CN,30.5092,117.0506,38.1,79,2,3.06,clear sky
265,Viedma,AR,-40.8135,-62.9967,66.85,72,100,12.17,heavy intensity rain
266,Guia De Isora,ES,28.2115,-16.7795,67.39,61,38,3.0,scattered clouds
267,Rudbar,AF,30.15,62.6,57.38,21,0,7.65,clear sky
268,Whitianga,NZ,-36.8333,175.7,71.02,92,90,9.13,overcast clouds
269,Port Hedland,AU,-20.3167,118.5667,84.25,84,75,3.44,broken clouds
270,Kawalu,ID,-7.3817,108.2082,72.68,95,90,2.48,overcast clouds
271,Imbituba,BR,-28.24,-48.6703,82.81,84,98,15.23,light rain
272,Hay River,CA,60.8156,-115.7999,-16.64,69,75,9.22,broken clouds
273,Taraclia,MD,45.9,28.6689,35.47,53,38,4.14,scattered clouds
274,Nishihara,JP,26.1842,127.7558,60.08,64,100,11.5,overcast clouds
275,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,92.21,45,21,4.76,few clouds
276,Aloleng,PH,16.1307,119.7824,78.04,79,25,7.54,scattered clouds
277,Talnakh,RU,69.4865,88.3972,1.2,96,100,7.63,overcast clouds
278,Norman Wells,CA,65.282,-126.8329,-24.97,92,87,9.35,overcast clouds
279,Zhuhai,CN,22.2769,113.5678,57.97,76,40,17.27,scattered clouds
280,Valdivia,CL,-39.8142,-73.2459,71.44,53,73,4.5,broken clouds
281,Vestmannaeyjar,IS,63.4427,-20.2734,27.59,80,0,5.75,clear sky
282,Maniitsoq,GL,65.4167,-52.9,6.42,81,100,16.71,light snow
